target_id	length	eff_length	est_counts	tpm
Solyc04g080560.2.1	417	364.958	0	0
Solyc06g007110.3.1	3157	3104.96	274	22.3198
Solyc03g005480.3.1	1679	1626.96	8	1.24368
Solyc07g062550.3.1	2545	2492.96	43	4.36264
Solyc05g005210.3.1	1678	1625.96	96	14.9334
Solyc08g016440.3.1	989	936.958	8	2.15956
Solyc01g049640.2.1	399	346.958	0	0
Solyc08g028915.1.1	360	307.958	0	0
Solyc09g083240.3.1	647	594.958	11	4.6763
Solyc09g056410.2.1	678	625.958	0	0
Solyc03g059050.2.1	1051	998.958	2	0.506383
Solyc04g054660.2.1	555	502.958	0	0
Solyc10g080940.2.1	2583	2530.96	1566.59	156.554
Solyc04g005680.3.1	1979	1926.96	1302.05	170.904
Solyc05g051290.3.1	1387	1334.96	318	60.2498
Solyc04g050440.3.1	1797	1744.96	70	10.1463
Solyc01g059853.1.1	516	463.958	0	0
Solyc03g078580.3.1	543	490.958	9	4.63654
Solyc01g106930.3.1	562	509.958	0	0
Solyc07g005590.3.1	4253	4200.96	674.652	40.6188
Solyc06g007680.2.1	2063	2010.96	60	7.54648
Solyc01g089960.3.1	1197	1144.96	20	4.41811
Solyc03g006120.3.1	1661	1608.96	0	0
Solyc07g054000.3.1	701	648.958	6	2.33846
Solyc02g032360.3.1	521	468.958	3	1.61802
Solyc02g089140.2.1	447	394.958	0	0
Solyc03g062910.3.1	5017	4964.96	0	0
Solyc08g014020.3.1	624	571.958	215	95.0759
Solyc06g043113.1.1	1455	1402.96	3	0.540845
Solyc01g150007.1.1	444	391.958	5	3.22646
Solyc09g031543.1.1	4368	4315.96	18.25	1.0695
Solyc08g067670.3.1	656	603.958	6	2.5127
Solyc10g084180.2.1	3498	3445.96	227	16.6614
Solyc07g041510.2.1	3769	3716.96	77	5.23961
Solyc03g118770.3.1	1385	1332.96	0	0
Solyc07g024015.1.1	8967	8914.96	0	0
Solyc07g009360.2.1	363	310.958	0	0
Solyc03g082950.3.1	878	825.958	0	0
Solyc11g022440.2.1	258	205.958	0	0
Solyc03g019970.3.1	1779	1726.96	0	0
Solyc01g006790.2.1	731	678.958	85	31.6645
Solyc05g018220.2.1	558	505.958	1	0.499898
Solyc01g107220.2.1	1167	1114.96	0	0
Solyc05g051340.2.1	2629	2576.96	12	1.1778
Solyc09g075840.3.1	328	275.958	0	0
Solyc03g058370.2.1	1017	964.958	11	2.88324
Solyc05g007250.3.1	1074	1021.96	675.95	167.293
Solyc04g048980.3.1	553	500.958	0	0
Solyc01g011091.1.1	8096	8043.96	3.46498	0.10895
Solyc04g051680.3.1	2052	1999.96	55.9561	7.07656
Solyc04g082200.2.1	1157	1104.96	2257	516.633
Solyc11g044632.1.1	686	633.958	0	0
Solyc06g007430.2.1	2112	2059.96	4	0.491131
Solyc08g036560.2.1	741	688.958	28	10.2793
Solyc01g090340.2.1	988	935.958	1688	456.155
Solyc08g076720.3.1	4114	4061.96	111	6.91168
Solyc02g068930.3.1	1005	952.958	140	37.1578
Solyc01g095170.2.1	922	869.958	15	4.36103
Solyc07g018400.3.1	174	121.96	0	0
Solyc07g006300.3.1	2508	2455.96	372	38.3105
Solyc09g072910.2.1	1314	1261.96	0	0
Solyc08g075320.3.1	2532	2479.96	0	0
Solyc03g044273.1.1	5441	5388.96	9.11769	0.427933
Solyc09g005730.3.1	735	682.958	72	26.6646
Solyc04g079830.2.1	2469	2416.96	387	40.4984
Solyc07g041820.2.1	3138	3085.96	0	0
Solyc01g044510.2.1	547	494.958	0	0
Solyc03g071853.1.1	894	841.958	0	0
Solyc01g095070.3.1	869	816.958	17	5.26314
Solyc06g007890.3.1	568	515.958	213.654	104.735
Solyc09g055610.2.1	105	55.1969	0	0
Solyc04g009590.3.1	568	515.958	0	0
Solyc02g077240.3.1	2165	2112.96	4	0.478812
Solyc03g083100.3.1	1862	1809.96	670	93.6273
Solyc08g006645.1.1	406	353.958	82.3253	58.8271
Solyc04g007825.1.1	1329	1276.96	212	41.9909
Solyc03g044060.3.1	3067	3014.96	43	3.60731
Solyc06g008980.3.1	1496	1443.96	3	0.525488
Solyc10g050757.1.1	1464	1411.96	0	0
Solyc01g094710.2.1	359	306.958	0	0
Solyc05g017830.2.1	232	179.958	0	0
Solyc11g027940.2.1	462	409.958	0	0
Solyc03g034130.3.1	840	787.958	1	0.320991
Solyc04g011990.2.1	3364	3311.96	0	0
Solyc07g017560.3.1	2822	2769.96	0	0
Solyc01g005380.2.1	1818	1765.96	106	15.1817
Solyc12g005820.2.1	826	773.958	1	0.326798
Solyc03g116170.3.1	1234	1181.96	121	25.8928
Solyc04g016010.3.1	2019	1966.96	0	0
Solyc12g098590.2.1	2992	2939.96	40	3.44124
Solyc03g082575.1.1	2097	2044.96	0	0
Solyc09g020070.2.1	1401	1348.96	0	0
Solyc07g017330.2.1	730	677.958	0	0
Solyc01g021700.2.1	1146	1093.96	0	0
Solyc09g055550.3.1	1685	1632.96	8	1.23911
Solyc01g014537.1.1	654	601.958	0	0
Solyc03g098750.3.1	1586	1533.96	134	22.0947
Solyc06g054230.3.1	1995	1942.96	0	0
Solyc09g010340.2.1	1272	1219.96	0	0
Solyc06g043140.3.1	1035	982.958	0	0
Solyc03g034165.1.1	1203	1150.96	0	0
Solyc01g012640.2.1	561	508.958	0	0
Solyc05g023660.2.1	1239	1186.96	0	0
Solyc11g008140.2.1	1826	1773.96	38	5.41797
Solyc02g062930.3.1	1567	1514.96	130	21.704
Solyc08g066400.2.1	953	900.958	0	0
Solyc10g036690.2.1	93	45.4549	0	0
Solyc09g011710.3.1	939	886.958	1236	352.461
Solyc12g096860.2.1	2683	2630.96	19	1.82657
Solyc02g063040.3.1	1276	1223.96	1	0.206647
Solyc06g076840.2.1	2830	2777.96	0	0
Solyc01g056940.2.1	756	703.958	1504	540.377
Solyc06g054620.3.1	855	802.958	1	0.314995
Solyc01g056270.2.1	701	648.958	0	0
Solyc01g020230.3.1	2531	2478.96	7.17938	0.73251
Solyc01g014107.1.1	766	713.958	3	1.06278
Solyc06g052140.2.1	885	832.958	0	0
Solyc05g052990.3.1	658	605.958	82	34.2269
Solyc06g033810.2.1	609	556.958	0	0
Solyc01g009690.2.1	2586	2533.96	1.26581	0.126347
Solyc02g078420.2.1	309	256.958	0	0
Solyc07g041240.2.1	468	415.958	1	0.608061
Solyc12g038770.2.1	729	676.958	0	0
Solyc06g052080.3.1	2780	2727.96	177	16.4109
Solyc11g020740.2.1	90	43.2065	0	0
Solyc01g014180.3.1	976	923.958	646	176.838
Solyc12g038350.2.1	872	819.958	5	1.54232
Solyc03g031650.3.1	738	685.958	90	33.1849
Solyc11g072410.2.1	2582	2529.96	221.694	22.1634
Solyc06g008100.3.1	663	610.958	30	12.4196
Solyc09g083445.1.1	618	565.958	33.7321	15.0749
Solyc06g064740.3.1	358	305.958	1	0.826675
Solyc02g062260.2.1	226	173.958	0	0
Solyc11g006650.2.1	2753	2700.96	34	3.18388
Solyc10g008330.3.1	689	636.958	0	0
Solyc10g036640.2.1	240	187.958	0	0
Solyc11g063580.2.1	291	238.958	0	0
Solyc01g111080.3.1	23222	23170	210.283	2.29549
Solyc04g071540.3.1	3007	2954.96	56	4.79328
Solyc12g062470.2.1	485	432.958	3.45033	2.01563
Solyc06g050840.3.1	977	924.958	298	81.4874
Solyc10g009530.3.1	1365	1312.96	18.7156	3.60536
Solyc07g052480.3.1	3041	2988.96	272.868	23.0903
Solyc01g008410.2.1	2163	2110.96	1.00465	0.120374
Solyc11g072650.2.1	1699	1646.96	0	0
Solyc01g101080.2.1	666	613.958	0	0
Solyc06g011490.3.1	1249	1196.96	35	7.3958
Solyc09g020130.3.1	1655	1602.96	393	62.0107
Solyc11g012600.2.1	1028	975.958	9.55358	2.47589
Solyc03g096645.1.1	4058	4005.96	0.00984842	0.000621808
Solyc02g070420.2.1	1007	954.958	43	11.3889
Solyc01g090710.3.1	1946	1893.96	23	3.07152
Solyc05g013230.2.1	342	289.958	0	0
Solyc11g028080.2.1	685	632.958	0	0
Solyc03g032030.3.1	1722	1669.96	19	2.87769
Solyc06g053950.2.1	645	592.958	20	8.53105
Solyc12g009050.2.1	2268	2215.96	13	1.48381
Solyc09g015100.3.1	446	393.958	0	0
Solyc08g061740.2.1	261	208.958	0	0
Solyc07g008020.3.1	817	764.958	257	84.9751
Solyc07g005470.3.1	2223	2170.96	20	2.3301
Solyc12g042880.2.1	1074	1021.96	0	0
Solyc07g066275.1.1	1327	1274.96	0	0
Solyc01g017410.2.1	501	448.958	0	0
Solyc02g014490.3.1	2997	2944.96	1	0.0858849
Solyc07g014585.1.1	1067	1014.96	4	0.9968
Solyc08g059780.2.1	1452	1399.96	126	22.7642
Solyc02g080590.3.1	821	768.958	312	102.624
Solyc01g066580.2.1	135	83.1673	0	0
Solyc02g089930.3.1	2658	2605.96	36	3.49407
Solyc04g081560.3.1	2712	2659.96	8	0.760696
Solyc12g010740.2.1	949	896.958	0	0
Solyc09g030420.3.1	357	304.958	1	0.829385
Solyc09g056430.3.1	1825	1772.96	8	1.14127
Solyc07g009280.3.1	518	465.958	0	0
Solyc07g032670.2.1	1243	1190.96	15	3.1856
Solyc04g018000.2.1	1215	1162.96	0	0
Solyc01g057490.3.1	442	389.958	2	1.2972
Solyc04g006990.3.1	1321	1268.96	32	6.37821
Solyc04g009900.3.1	1390	1337.96	120	22.6848
Solyc02g021063.1.1	1655	1602.96	9	1.42009
Solyc04g072470.3.1	508	455.958	4	2.21887
Solyc06g082020.3.1	489	436.958	0	0
Solyc11g072800.2.1	4144	4091.96	1	0.0618109
Solyc08g080110.3.1	2880	2827.96	73	6.52899
Solyc08g074680.2.1	5534	5481.96	4	0.184553
Solyc00g005850.2.1	566	513.958	0	0
Solyc12g009745.1.1	2898	2845.96	0	0
Solyc10g008210.3.1	4197	4144.96	4	0.244082
Solyc06g072480.1.1	516	463.958	0	0
Solyc09g057715.1.1	519	466.958	0	0
Solyc05g015710.3.1	1126	1073.96	137	32.2648
Solyc12g097070.2.1	1320	1267.96	25	4.98691
Solyc12g019340.1.1	183	130.958	0	0
Solyc05g006260.1.1	183	130.958	0	0
Solyc01g067380.3.1	1781	1728.96	47	6.87558
Solyc12g042120.2.1	508	455.958	98.9942	54.9137
Solyc07g006800.1.1	1362	1309.96	0	0
Solyc09g009280.1.1	885	832.958	1	0.30365
Solyc06g005070.2.1	2155	2102.96	18	2.1649
Solyc11g066760.2.1	2304	2251.96	3	0.336943
Solyc06g071540.3.1	3375	3322.96	13	0.989497
Solyc09g065150.1.1	150	98.0023	35.4102	91.3879
Solyc10g081230.2.1	1185	1132.96	0	0
Solyc01g106390.3.1	2020	1967.96	47	6.04057
