target_id	length	eff_length	est_counts	tpm
Solyc07g006300.3.1	2508	2455.96	1066	53.5203
Solyc09g072910.2.1	1314	1261.96	0	0
Solyc08g075320.3.1	2532	2479.96	1.00256	0.0498482
Solyc03g044273.1.1	5441	5388.96	14.0641	0.321803
Solyc09g005730.3.1	735	682.958	1364	246.265
Solyc04g079830.2.1	2469	2416.96	1484	75.7089
Solyc07g041820.2.1	3138	3085.96	0	0
Solyc01g044510.2.1	547	494.958	0	0
Solyc03g071853.1.1	894	841.958	0	0
Solyc01g095070.3.1	869	816.958	53	7.99942
Solyc06g007890.3.1	568	515.958	121.351	29.0009
Solyc09g055610.2.1	105	55.1969	0	0
Solyc04g009590.3.1	568	515.958	0	0
Solyc02g077240.3.1	2165	2112.96	13	0.758638
Solyc03g083100.3.1	1862	1809.96	1104	75.2112
Solyc08g006645.1.1	406	353.958	113.964	39.7008
Solyc04g007825.1.1	1329	1276.96	268	25.8786
Solyc03g044060.3.1	3067	3014.96	83	3.39452
Solyc06g008980.3.1	1496	1443.96	10	0.85394
Solyc10g050757.1.1	1464	1411.96	0	0
Solyc01g094710.2.1	359	306.958	0	0
Solyc05g017830.2.1	232	179.958	0	0
Solyc11g027940.2.1	462	409.958	0	0
Solyc03g034130.3.1	840	787.958	0	0
Solyc04g011990.2.1	3364	3311.96	0	0
Solyc07g017560.3.1	2822	2769.96	2	0.0890305
Solyc01g005380.2.1	1818	1765.96	139	9.70547
Solyc12g005820.2.1	826	773.958	1	0.159318
Solyc03g116170.3.1	1234	1181.96	366	38.1822
Solyc04g016010.3.1	2019	1966.96	2.24795	0.14092
Solyc12g098590.2.1	2992	2939.96	182.866	7.66963
Solyc03g082575.1.1	2097	2044.96	0	0
Solyc09g020070.2.1	1401	1348.96	0	0
Solyc07g017330.2.1	730	677.958	0	0
Solyc01g021700.2.1	1146	1093.96	0	0
Solyc09g055550.3.1	1685	1632.96	20	1.51021
Solyc01g014537.1.1	654	601.958	0	0
Solyc03g098750.3.1	1586	1533.96	289	23.2309
Solyc06g054230.3.1	1995	1942.96	0	0
Solyc09g010340.2.1	1272	1219.96	0	0
Solyc06g043140.3.1	1035	982.958	0	0
Solyc03g034165.1.1	1203	1150.96	2.02277	0.216705
Solyc01g012640.2.1	561	508.958	0	0
Solyc05g023660.2.1	1239	1186.96	0	0
Solyc11g008140.2.1	1826	1773.96	44	3.05838
Solyc02g062930.3.1	1567	1514.96	504	41.0215
Solyc08g066400.2.1	953	900.958	4	0.547441
Solyc10g036690.2.1	93	45.4549	0	0
Solyc09g011710.3.1	939	886.958	5507	765.586
Solyc12g096860.2.1	2683	2630.96	25	1.17168
Solyc02g063040.3.1	1276	1223.96	7	0.705202
Solyc06g076840.2.1	2830	2777.96	0	0
Solyc01g056940.2.1	756	703.958	3339	584.86
Solyc06g054620.3.1	855	802.958	17	2.61059
Solyc01g056270.2.1	701	648.958	0	0
Solyc01g020230.3.1	2531	2478.96	27.117	1.34882
Solyc01g014107.1.1	766	713.958	5	0.863534
Solyc06g052140.2.1	885	832.958	0	0
Solyc05g052990.3.1	658	605.958	272	55.3488
Solyc06g033810.2.1	609	556.958	0	0
Solyc01g009690.2.1	2586	2533.96	0	0
Solyc02g078420.2.1	309	256.958	0	0
Solyc07g041240.2.1	468	415.958	3	0.889312
Solyc12g038770.2.1	729	676.958	0	0
Solyc06g052080.3.1	2780	2727.96	563	25.4479
Solyc11g020740.2.1	90	43.2065	0	0
Solyc01g014180.3.1	976	923.958	2384	318.153
Solyc12g038350.2.1	872	819.958	11	1.65418
Solyc03g031650.3.1	738	685.958	167	30.0193
Solyc11g072410.2.1	2582	2529.96	683.755	33.3249
Solyc06g008100.3.1	663	610.958	84	16.9531
Solyc09g083445.1.1	618	565.958	32.2425	7.02468
Solyc06g064740.3.1	358	305.958	3	1.20904
Solyc02g062260.2.1	226	173.958	0	0
