target_id	length	eff_length	est_counts	tpm
Solyc06g008980.3.1	1496	1443.96	9	0.879219
Solyc10g050757.1.1	1464	1411.96	0	0
Solyc01g094710.2.1	359	306.958	0	0
Solyc05g017830.2.1	232	179.958	0	0
Solyc11g027940.2.1	462	409.958	0	0
Solyc03g034130.3.1	840	787.958	0	0
Solyc04g011990.2.1	3364	3311.96	0	0
Solyc07g017560.3.1	2822	2769.96	1	0.0509255
Solyc01g005380.2.1	1818	1765.96	126	10.0647
Solyc12g005820.2.1	826	773.958	2	0.36452
Solyc03g116170.3.1	1234	1181.96	180	21.4822
Solyc04g016010.3.1	2019	1966.96	4.4959	0.322427
Solyc12g098590.2.1	2992	2939.96	291.751	13.9985
Solyc03g082575.1.1	2097	2044.96	16.9238	1.16741
Solyc09g020070.2.1	1401	1348.96	0	0
Solyc07g017330.2.1	730	677.958	0	0
Solyc01g021700.2.1	1146	1093.96	0	0
Solyc09g055550.3.1	1685	1632.96	14	1.20938
Solyc01g014537.1.1	654	601.958	0	0
Solyc03g098750.3.1	1586	1533.96	348	32.0018
Solyc06g054230.3.1	1995	1942.96	0	0
Solyc09g010340.2.1	1272	1219.96	0	0
Solyc06g043140.3.1	1035	982.958	0	0
Solyc03g034165.1.1	1203	1150.96	1.94344	0.238189
Solyc01g012640.2.1	561	508.958	0	0
Solyc05g023660.2.1	1239	1186.96	0	0
Solyc11g008140.2.1	1826	1773.96	26	2.06747
Solyc02g062930.3.1	1567	1514.96	461	42.9249
Solyc08g066400.2.1	953	900.958	1	0.156569
Solyc10g036690.2.1	93	45.4549	0	0
Solyc09g011710.3.1	939	886.958	5736	912.252
Solyc12g096860.2.1	2683	2630.96	25	1.3404
Solyc02g063040.3.1	1276	1223.96	2	0.230501
Solyc06g076840.2.1	2830	2777.96	0	0
Solyc01g056940.2.1	756	703.958	2223	445.453
Solyc06g054620.3.1	855	802.958	6	1.05406
Solyc01g056270.2.1	701	648.958	1	0.217366
Solyc01g020230.3.1	2531	2478.96	9.2471	0.526193
Solyc01g014107.1.1	766	713.958	5	0.987885
Solyc06g052140.2.1	885	832.958	0	0
Solyc05g052990.3.1	658	605.958	229	53.3092
Solyc06g033810.2.1	609	556.958	0	0
Solyc01g009690.2.1	2586	2533.96	2.60868	0.145221
Solyc02g078420.2.1	309	256.958	0	0
Solyc07g041240.2.1	468	415.958	4	1.3565
Solyc12g038770.2.1	729	676.958	0	0
Solyc06g052080.3.1	2780	2727.96	391	20.2185
Solyc11g020740.2.1	90	43.2065	0	0
Solyc01g014180.3.1	976	923.958	1833	279.846
Solyc12g038350.2.1	872	819.958	6	1.03221
Solyc03g031650.3.1	738	685.958	154	31.6688
Solyc11g072410.2.1	2582	2529.96	559.622	31.2026
Solyc06g008100.3.1	663	610.958	71	16.3929
Solyc09g083445.1.1	618	565.958	26.3367	6.56427
