target_id	length	eff_length	est_counts	tpm
Solyc12g096860.2.1	2683	2630.96	1	0.371297
Solyc02g063040.3.1	1276	1223.96	2	1.59624
Solyc06g076840.2.1	2830	2777.96	0	0
Solyc01g056940.2.1	756	703.958	1032	1432.09
Solyc06g054620.3.1	855	802.958	4	4.86635
Solyc01g056270.2.1	701	648.958	1	1.50529
Solyc01g020230.3.1	2531	2478.96	0	0
Solyc01g014107.1.1	766	713.958	21	28.7331
Solyc06g052140.2.1	885	832.958	0	0
Solyc05g052990.3.1	658	605.958	38	61.26
Solyc06g033810.2.1	609	556.958	0	0
Solyc01g009690.2.1	2586	2533.96	0	0
Solyc02g078420.2.1	309	256.958	0	0
Solyc07g041240.2.1	468	415.958	0	0
Solyc12g038770.2.1	729	676.958	0	0
Solyc06g052080.3.1	2780	2727.96	68	24.3505
Solyc11g020740.2.1	90	43.2065	0	0
Solyc01g014180.3.1	976	923.958	260	274.889
Solyc12g038350.2.1	872	819.958	1	1.19136
Solyc03g031650.3.1	738	685.958	28	39.8746
Solyc11g072410.2.1	2582	2529.96	102.914	39.7372
Solyc06g008100.3.1	663	610.958	6	9.59347
Solyc09g083445.1.1	618	565.958	103.741	179.062
Solyc06g064740.3.1	358	305.958	0	0
Solyc02g062260.2.1	226	173.958	0	0
Solyc11g006650.2.1	2753	2700.96	9	3.25507
Solyc10g008330.3.1	689	636.958	2	3.06729
Solyc10g036640.2.1	240	187.958	0	0
Solyc11g063580.2.1	291	238.958	0	0
Solyc01g111080.3.1	23222	23170	549.07	23.1493
Solyc04g071540.3.1	3007	2954.96	12	3.96703
Solyc12g062470.2.1	485	432.958	0	0
Solyc06g050840.3.1	977	924.958	39	41.1887
Solyc10g009530.3.1	1365	1312.96	0	0
Solyc07g052480.3.1	3041	2988.96	39	12.7462
Solyc01g008410.2.1	2163	2110.96	0	0
Solyc11g072650.2.1	1699	1646.96	0	0
Solyc01g101080.2.1	666	613.958	0	0
Solyc06g011490.3.1	1249	1196.96	17	13.8741
Solyc09g020130.3.1	1655	1602.96	226	137.728
Solyc11g012600.2.1	1028	975.958	15.7423	15.757
Solyc03g096645.1.1	4058	4005.96	0.00982089	0.00239486
Solyc02g070420.2.1	1007	954.958	0	0
Solyc01g090710.3.1	1946	1893.96	601	309.985
Solyc05g013230.2.1	342	289.958	0	0
Solyc11g028080.2.1	685	632.958	0	0
Solyc03g032030.3.1	1722	1669.96	7	4.09476
Solyc06g053950.2.1	645	592.958	0	0
Solyc12g009050.2.1	2268	2215.96	13	5.73083
Solyc09g015100.3.1	446	393.958	1	2.47963
Solyc08g061740.2.1	261	208.958	0	0
Solyc07g008020.3.1	817	764.958	3	3.83107
Solyc07g005470.3.1	2223	2170.96	20	8.99942
Solyc12g042880.2.1	1074	1021.96	2	1.91176
Solyc07g066275.1.1	1327	1274.96	0	0
Solyc01g017410.2.1	501	448.958	0	0
Solyc02g014490.3.1	2997	2944.96	1	0.331709
Solyc07g014585.1.1	1067	1014.96	0	0
Solyc08g059780.2.1	1452	1399.96	90	62.8005
Solyc02g080590.3.1	821	768.958	176	223.587
Solyc01g066580.2.1	135	83.1673	0	0
Solyc02g089930.3.1	2658	2605.96	3	1.12458
Solyc04g081560.3.1	2712	2659.96	0	0
Solyc12g010740.2.1	949	896.958	0	0
Solyc09g030420.3.1	357	304.958	0	0
Solyc09g056430.3.1	1825	1772.96	1	0.550982
Solyc07g009280.3.1	518	465.958	0	0
Solyc07g032670.2.1	1243	1190.96	2	1.64047
Solyc04g018000.2.1	1215	1162.96	0	0
Solyc01g057490.3.1	442	389.958	0	0
Solyc04g006990.3.1	1321	1268.96	6	4.61891
Solyc04g009900.3.1	1390	1337.96	51	37.236
Solyc02g021063.1.1	1655	1602.96	18	10.9695
Solyc04g072470.3.1	508	455.958	0	0
Solyc06g082020.3.1	489	436.958	0	0
Solyc11g072800.2.1	4144	4091.96	2	0.477457
Solyc08g080110.3.1	2880	2827.96	46	15.8899
Solyc08g074680.2.1	5534	5481.96	108	19.2453
Solyc00g005850.2.1	566	513.958	0	0
Solyc12g009745.1.1	2898	2845.96	0	0
Solyc10g008210.3.1	4197	4144.96	12	2.82811
Solyc06g072480.1.1	516	463.958	1	2.10551
Solyc09g057715.1.1	519	466.958	0	0
Solyc05g015710.3.1	1126	1073.96	35	31.8359
Solyc12g097070.2.1	1320	1267.96	11	8.47469
Solyc12g019340.1.1	183	130.958	0	0
Solyc05g006260.1.1	183	130.958	0	0
Solyc01g067380.3.1	1781	1728.96	20	11.3001
Solyc12g042120.2.1	508	455.958	1	2.14245
Solyc07g006800.1.1	1362	1309.96	0	0
Solyc09g009280.1.1	885	832.958	3	3.51831
Solyc06g005070.2.1	2155	2102.96	1	0.464521
Solyc11g066760.2.1	2304	2251.96	0	0
Solyc06g071540.3.1	3375	3322.96	2	0.587951
Solyc09g065150.1.1	150	98.0023	10.9217	108.865
Solyc10g081230.2.1	1185	1132.96	0	0
Solyc01g106390.3.1	2020	1967.96	8	3.97109
Solyc09g007080.3.1	5868	5815.96	9.40333	1.57941
Solyc11g066500.2.1	3576	3523.96	27	7.4846
Solyc01g102637.1.1	282	229.958	0	0
Solyc03g060510.3.1	1738	1685.96	15	8.69121
Solyc11g066460.1.1	651	598.958	22	35.8808
Solyc06g082800.3.1	1406	1353.96	61	44.0109
Solyc01g105290.3.1	1594	1541.96	19	12.037
Solyc08g062965.1.1	528	475.958	0	0
Solyc03g058900.2.1	501	448.958	0	0
Solyc11g011542.1.1	477	424.958	0	0
Solyc03g007860.1.1	558	505.958	5	9.65365
Solyc06g048620.3.1	4542	4489.96	21	4.56891
Solyc03g006490.3.1	1155	1102.96	61	54.0265
Solyc11g017373.1.1	738	685.958	0	0
Solyc09g060100.3.1	5908	5855.96	9.20025	1.53475
